微博id,微博发布时间,发布人账号,微博中文内容,微博图片,微博视频
4.45607E+15,01月01日 23:59,Dear_Christin,2020年第一天，宝宝晚上发烧了。上个月的肺炎经历还历历在目，不觉又开始揪心。目前低烧安稳睡觉中，告诉自己勿要着急。为了缓解情绪刚才又翻了一遍裴医生的文章，作为母亲真不知需要经历多少煎熬才可以挺到孩子完善免疫力的那一天。新年最大的愿望唯有一家人平安健康尔。?,[],[]
4.45607E+15,01月01日 23:38,Maggie大美Y,生病发烧一直就没好～就当预示着2020年是个风风火火的好好好运年～新年第一天有肉吃，以后天天有肉吃?,"['https://ww1.sinaimg.cn/orj360/006TMJgaly1gahhj4bmkcj32801o0u0y.jpg', 'https://ww4.sinaimg.cn/thumb150/006TMJgaly1gahhj59j57j32801o0qv6.jpg', 'https://ww4.sinaimg.cn/thumb150/006TMJgaly1gahhj3cctkj32801o07wj.jpg']",[]
4.45607E+15,01月01日 23:34,折眉几年,害新年第一天就发烧????,[],[]
4.45606E+15,01月01日 23:20,秃头少女Brushblog,是心动啊，糟糕眼神躲不掉。对你莫名的心跳，竟然停不了对你的迷恋感觉要发烧。@namjoohyuk_official,['https://wx3.sinaimg.cn/orj480/63becc16gy1g7vd28prcbj20hs0a1q4w.jpg'],"['https://f.video.weibocdn.com/0009osQVlx07xJgl0r8c010412002xv30E010.mp4?label=mp4_ld&template=360x360.27.0&trans_finger=7089b9ffffc5ab0ecc5039185e3deac9&Expires=1582139657&ssig=RiUIGROFvQ&KID=unistore,video']"
4.45606E+15,01月01日 23:03,Akemi庄蝶,过去的一整年有好好喜欢你。不过今年不可以啦，毕竟，可不能连自己都不要了。跨年给你打电话，听到听筒里远远传来你男朋友和你嬉笑的声音。想起不久前你和你男朋友冷战时，你坚决地说你要和他分手。我站在楼道的窗口前听电话，发烧时周身冷热交替，笑容有多讽刺。有人问你粥可温，真好。?,[],[]
4.45606E+15,01月01日 22:59,那丝苦笑,2020请对我好点，第一天就感冒发烧…………?,['https://ww4.sinaimg.cn/orj360/005z0LGsly1gahgfvd6lkj300500504c.jpg'],[]
4.45606E+15,01月01日 22:43,我是木子_,一月一号哈哈哈哈哈哈我要笑死了新年新气象兔兔不乖所以发烧了去诊所路上她看到有qq糖??想吃我着急带她看病就先没买原来她这么big一人居然害怕打针一直对我撒娇好不容易安慰好她医生才顺利给她扎了针为了安慰她去给她买了qq糖冲泡奶茶怕针管里的药水太凉拿了暖宝宝粘在管子边上后来?展开全文c,"['https://ww3.sinaimg.cn/orj360/007EgizUly1gahfiivn01j32c02c07uz.jpg', 'https://ww1.sinaimg.cn/orj360/007EgizUly1gahfh9qk0zj32c02c0b2a.jpg', 'https://ww1.sinaimg.cn/thumb150/007EgizUly1gahfiasz92j30yi1d2hbp.jpg', 'https://ww4.sinaimg.cn/thumb150/007EgizUly1gahfi8ku6ej32c02c0hdu.jpg', 'https://ww3.sinaimg.cn/thumb150/007EgizUly1gahfhzla7bj32c02c07wh.jpg', 'https://ww2.sinaimg.cn/thumb150/007EgizUly1gahft0oy0lj30yi0nmqae.jpg', 'https://ww4.sinaimg.cn/orj360/007EgizUly1gahfo3puozj32c0340b29.jpg', 'https://ww2.sinaimg.cn/thumb150/007EgizUly1gahfo88jcfj32c02c07wi.jpg', 'https://ww3.sinaimg.cn/thumb150/007EgizUly1gahftc1936j30tu0tunfw.jpg']",[]
4.45607E+15,01月01日 23:48,Karin卡小姐,2020的第一天是这样的感冒发烧流鼻涕2厦门?,['https://ww2.sinaimg.cn/orj360/8d5c0822gy1gahhujf7ixj20wq0g1juu.jpg'],[]
4.45607E+15,01月01日 23:47,冰枫夏青85,我发烧我胃痛你在乎吗我通宵我失踪你在乎吗我难过我不安你在乎吗我委屈我心痛你在乎吗，我爱你你在乎?,[],[]
4.45607E+15,01月01日 23:43,19岁少年想学广场舞,20.1.1发烧，一个晚上没睡好，早上起来就去诊所看了一下，晚上写作业，明天又有考试?,[],[]
4.45607E+15,01月01日 23:37,kammy_adu,好棒！第一天衣服穿太少，加上妹纸的助攻，哈哈发烧了?,['https://ww3.sinaimg.cn/orj360/7245bad9gy1gahhhvbw3oj20c40hhmyh.jpg'],[]
4.45607E+15,01月01日 23:58,辣椒扭腰客,当时被称作未来的那个年份真的来了。一岁半的葫芦正发烧39度睡的不安稳；我在看买了许久都没看的正说清朝十二帝，盼着过年。//@雨乔乔雨:……,"['https://ww3.sinaimg.cn/thumb150/61e7f4aajw1enykpko7omj20c80lpjtt.jpg', 'https://ww3.sinaimg.cn/thumb150/61e7f4aajw1enyk222g7oj20hs2bc4kn.jpg', 'https://ww3.sinaimg.cn/thumb150/61e7f4aajw1enyk22uh4cj20hs0vkwle.jpg', 'https://ww1.sinaimg.cn/thumb150/61e7f4aajw1enyk23j5zhj20hs0vk45q.jpg', 'https://ww2.sinaimg.cn/thumb150/61e7f4aajw1enyk24h00mj20hs1e014z.jpg', 'https://ww1.sinaimg.cn/thumb150/61e7f4aajw1enyk253ovrj20hs1e0ds9.jpg', 'https://ww4.sinaimg.cn/thumb150/61e7f4aajw1enyk25m7dtj20hs0vkjyd.jpg', 'https://ww3.sinaimg.cn/thumb150/61e7f4aajw1enyk26bb45j20hs0vkagt.jpg', 'https://ww4.sinaimg.cn/thumb150/61e7f4aajw1enyk26znffj20hs0vkwlm.jpg']",[]
4.45607E+15,01月01日 23:53,LilySaysno,人生谨言：发烧不要出门，出门不吹风，吃饭不喝酒元旦第一天我躺在床上活像一枚濒死的王八?,[],[]
4.45606E+15,01月01日 23:21,蓝亭LT,#新年心愿#以前去鼓山只知道爬步道，今日才知道原来涌泉寺内别有洞天下山时分正好碰上眺望台的日落，旁边有小朋友在吹泡泡，隔壁的小姐姐还一直在喊“小朋友，多吹点多吹点”于是我也趁机拍下图五美丽的一幕@福州那点事儿@福州市文化和旅游局@福州摄影发烧友@随手拍福州?展开全文c,"['https://ww1.sinaimg.cn/thumb150/8b09c64fgy1gahgly5jzrj22tc2404qq.jpg', 'https://ww3.sinaimg.cn/thumb150/8b09c64fgy1gahglzoaofj22tc240x6p.jpg', 'https://ww4.sinaimg.cn/thumb150/8b09c64fgy1gahgm19ms3j22tc240e82.jpg', 'https://ww1.sinaimg.cn/thumb150/8b09c64fgy1gahglwjyk2j22tc240u0y.jpg', 'https://ww4.sinaimg.cn/thumb150/8b09c64fgy1gahgltofc8j22tc2407wh.jpg', 'https://ww1.sinaimg.cn/thumb150/8b09c64fgy1gahgm617wfj23k02o0hdw.jpg', 'https://ww4.sinaimg.cn/thumb150/8b09c64fgy1gahgm7nhn1j22tc2407wi.jpg', 'https://ww2.sinaimg.cn/thumb150/8b09c64fgy1gahglv2j4wj22tc240kjm.jpg', 'https://ww4.sinaimg.cn/thumb150/8b09c64fgy1gahgm96q7lj22tc240kjm.jpg']",[]
4.45606E+15,01月01日 23:10,救助急性髓系白血病小名义,救助急性髓系白血病名义#救助急性髓系白血病名义#小名义爱心渠道??:O温馨提示今天是名义宝贝进仓的第十三天，今天早上烧了，后面退烧了，到这会没在烧了，胃口也是不好，吃不下东西，因为吃太多种类的药，每天每餐都要灌??，现在名义喉咙粘膜出血，之前几天?展开全文c,['https://wx3.sinaimg.cn/orj480/eb3aa523gy1gahgrwls7pj20k00zkjsk.jpg'],"['https://f.video.weibocdn.com/003rsyNbgx07zP5vKKJF010412003O7t0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1582139657&ssig=jYJ83FHNQh&KID=unistore,video']"
4.45606E+15,01月01日 23:04,千千是無敵可愛的小寶貝,2020我来啦1.1今天有好有坏，发烧啦生病啦，新年第一烧染了个头发，自我感觉还不错，平平淡淡又不平淡，本来说着今天要出去玩，结果啊生病在宿舍待了一天不想对妈咪说，快回家了，怕她担心，很喜欢我那个同学，被人关心的感觉，真好2020希望自已想要的东西都可以自己努力得到Fighting！?,"['https://ww1.sinaimg.cn/thumb150/006bERtEgy1gahghofy5aj30u00u0hd5.jpg', 'https://ww1.sinaimg.cn/thumb150/006bERtEgy1gahghrj6x7j30u00u04mc.jpg', 'https://ww1.sinaimg.cn/thumb150/006bERtEgy1gahghu7fcrj30u00u01e0.jpg']",[]
4.45606E+15,01月01日 23:03,小小少年_杨好好,杨好好第2013天，小可怜发烧了～?,['https://ww2.sinaimg.cn/orj360/a890060cgy1gahgk9ofw4j20u01hc7cl.jpg'],[]
4.45606E+15,01月01日 22:49,故事要结束了吗,累死了，飞了一整天，还感冒发烧不过对今天的打扮还是很满意2张掖·临泽七彩宾馆?,"['https://ww3.sinaimg.cn/thumb150/006g3V0cgy1gahfzkekn9j316o1kwqpo.jpg', 'https://ww2.sinaimg.cn/thumb150/006g3V0cgy1gahfzjd92kj316o16otzn.jpg', 'https://ww4.sinaimg.cn/thumb150/006g3V0cgy1gahg4d8ew3j30ex0srne6.jpg']",[]
4.45607E+15,01月01日 23:35,ltt1218,流感是真的吗，室友发烧了，我感冒了?,[],[]
4.45607E+15,01月01日 23:33,葵花籽微笑,今天下午7点过发烧。医生说2g布洛芬太多了，只能吃1g多，刚刚量37.2，比昨天好点了，昨天前天是凌晨发烧一次，下午4.5点过一次。今天是7点过。但愿凌晨不要发烧了。。然而咳嗽好像又加重了！！真的要崩溃了。希望快点好起来吧。。2重庆?,[],[]
4.45607E+15,01月01日 23:32,永不言弃2019,rng生病发烧，新年第一天要结束了，突然想起中午吃的还是去年的剩饭……我太难了……?,[],[]
4.45606E+15,01月01日 23:08,张Inferior,2020第一天，吃了一顿饭，晚上开始发烧我能怪谁呢?,[],[]
4.45606E+15,01月01日 23:08,你是不是又长胖了,新年第一天，羽哥感冒发烧，我全脸过敏，请求财神把我从黑名单拉出来，衰神穷神拉黑我吧?,['https://ww1.sinaimg.cn/orj360/a12829d1ly1gahgowqui1j20k0140q8b.jpg'],[]
4.45607E+15,01月01日 23:46,宮脇肥丸,打开电脑要搬砖结果摸鱼了4个小时摸到头痛发烧……只好啥也没干关机困告体感明天又是通宵?,[],[]
4.45607E+15,01月01日 23:44,米兰艳阳照我心,记玻璃心的小暖男。头天晚上胖达一直不睡觉妈妈想出去，他不干。我说妈妈也得喝水呀。他马上推我出去喝水（不过只放我自由一小会儿很快就召唤我回来陪他了），知道要照顾妈妈的感受了，妈妈心里很暖。凌晨的时候，胖达翻来覆去，在我跟前滚来滚去。我以为他是例行的凌晨清醒了，找睡觉姿势呢。结果忽?展开全文c,[],[]
4.45607E+15,01月01日 23:40,胖虎不起床,最近发烧烧的已经有经验了玩游戏一直头疼我就知道又烧起来了?,[],[]
4.45606E+15,01月01日 22:53,东方之侑,//@张有为:古典音乐发烧友今年的指挥是新面孔，乐曲处理很棒，现场气氛也被他调动的非常好。,['https://wx1.sinaimg.cn/large/ed100bddly1gaheclnshoj20rs0fr40q.jpg'],"['https://f.video.weibocdn.com/000EUIlvlx07zOZP5xSw01041200z99r0E010.mp4?label=mp4_ld&template=632x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1582139657&ssig=qL3hFC8l9U&KID=unistore,video']"
4.45606E+15,01月01日 22:48,今天您吃什么呀,一边发烧一边泡面我果然不是粥能养活的凡夫俗子?????,['https://ww1.sinaimg.cn/orj360/866b2bb1ly1gahg21wivtj20tr0s7qst.jpg'],[]
4.45605E+15,01月01日 22:41,妈妈嫌我昵称长,不停走，不停走累到要发烧了2澳门特区·澳门理工学院?,[],[]
4.45607E+15,01月01日 23:39,啊李李李李居然,而且这是我第一次肚子这么难受跟我上次第一次发烧到觉得电脑键盘都敲不动一样让我有一点点点点惊奇我可能有点毛病_(:з」∠)_?,[],[]
4.45607E+15,01月01日 23:39,混世魔猪猪,又发烧了。。。崩溃啊?,[],[]
4.45607E+15,01月01日 23:30,快饶了我吧_,2020第一天，早上四点多去吃饭，喝到上午九点半，常温的啤酒齁凉，闹了一天肚子，现在在上班，有点发烧?,['https://ww2.sinaimg.cn/orj360/007C54C5ly1gahhcmjou3j30j60j8t9t.jpg'],[]
4.45607E+15,01月01日 23:30,可怜高三狗,2019的最后一天遇见了心动的男孩子2020的第一天我发烧了?,[],[]
4.45607E+15,01月01日 23:56,黑面小野人,小时候觉得离自己很远的#2020#年到了。早上醒来发现家里没人，妹妹去朋友家过生日，爸妈不知道去哪里了，我也没问。闲着无聊把衣服和狗的东西全洗了差点又累到发烧（澄清：衣服是洗衣机洗，扫地拖地是吉吉二号做的。没办法，我身子就是弱），幸好睡了个沉沉的午觉。虽然没有倒数没有祝福也没人?展开全文c,['https://ww1.sinaimg.cn/orj360/006Z2V4Cgy1gahi3fka3uj33402c01kz.jpg'],[]
4.45607E+15,01月01日 23:49,sylvielau-,没想到元旦+生日=发烧????,[],[]
4.45607E+15,01月01日 23:42,ZA-Zheng,29日晚上到达4小时后开始发烧，30日下午晚上各去了一次医院，吃了三顿白粥，烧了两晚38.4℃终于退了，不过还是一直拉肚子，31日到峡江姑姑嫁女宴，一桌菜都没胃口，不过还是吃了一些，于是继续拉继续吃药。1号送表妹出嫁，基本就吃点青菜和米饭，1点半出发10点50到，苦逼得很。根本不想再开车回江西了?展开全文c,"['https://ww3.sinaimg.cn/thumb150/7cd112e4gy1gahhgex7adj20u0140434.jpg', 'https://ww3.sinaimg.cn/thumb150/7cd112e4gy1gahhgihzonj21400u0ait.jpg', 'https://ww4.sinaimg.cn/thumb150/7cd112e4gy1gahhgl17goj21400u043v.jpg', 'https://ww1.sinaimg.cn/thumb150/7cd112e4gy1gahhgnumylj21400u0gs3.jpg', 'https://ww3.sinaimg.cn/orj360/7cd112e4gy1gahhgqd7h7j21400u043t.jpg', 'https://ww1.sinaimg.cn/thumb150/7cd112e4gy1gahhgspc03j20u0140439.jpg', 'https://ww3.sinaimg.cn/orj360/7cd112e4gy1gahhguk55ij21400u0gpo.jpg', 'https://ww1.sinaimg.cn/thumb150/7cd112e4gy1gahhgxtn1wj20u0140tfp.jpg']",[]
4.45607E+15,01月01日 23:40,蟹谢蟹,2020注定是不平凡的一年，第一天发烧，第二天肠胃炎，只能祈求神秘力量佑我平安,"['https://ww1.sinaimg.cn/thumb150/007bbu1Lgy1gafy896frbj31400u0117.jpg', 'https://ww4.sinaimg.cn/thumb150/007bbu1Lgy1gafy89ra2yj31400u0wr1.jpg', 'https://ww1.sinaimg.cn/thumb150/007bbu1Lgy1gafy896fdmj313c0u0do7.jpg']",[]
4.45607E+15,01月01日 23:55,磨砚,发烧背书中……?????????????????????,[],[]
4.45607E+15,01月01日 23:55,木子君025,2020的第一天，在家陪发烧的宝宝渡过，今年的愿望是希望宝宝健健康康，平平安安，快高快大！?,[],[]
4.45607E+15,01月01日 23:54,花木本心,#为了生活更美好&求学记#熊孩子发烧第二天，今晚一边写作业一边哭，我问他有什么小心愿，写完作业妈妈可以帮兑现……他说，希望明天不要去上学。老娘满腔怒火瞬间勇气，但不得不耗费十分元气，笑着跟他说，必须要上学，但你可以换个实物礼品。病中的小朋友很藐视的看了我一眼?展开全文c,['https://ww4.sinaimg.cn/orj360/76d479a9gy1gahi1k3fngj23402c0qv5.jpg'],[]
4.45607E+15,01月01日 23:46,Twinkling_NT,心累，2020年第一天发烧浑身都痛，太惨了我?,[],[]
4.45607E+15,01月01日 23:41,瘋子麗,元旦#2020新年快乐#柳州一日游好不容易发烧好了，又扁桃体发炎失声了2019年身上都是伤痕留下伤疤，2020年会更好！越来越好加油(???_??)?晚饭老爸第一暗语明示的对我说“你还抓紧干嘛”2柳州?,"['https://ww3.sinaimg.cn/orj360/8dd59161gy1gahhnf0u8pj21400u0gt6.jpg', 'https://ww1.sinaimg.cn/thumb150/8dd59161gy1gahhn31pkgj21400u0gph.jpg']",[]
4.45607E+15,01月01日 23:29,我再也开心不起来了,新年第一天小??发烧了2靖西?,[],[]
4.45606E+15,01月01日 23:18,一个亭子_,太难了2020年的第一天我下午难受他晚上发烧?,[],[]
4.45606E+15,01月01日 22:51,梅老师的外孙女,2020年的第一天，有点心累，宝宝第一次发烧，大头也发了几天烧。跑来跑去真的心好累。?,[],[]
4.45604E+15,01月01日 21:38,宅腐酱油饭安娜,2??0??2??0??匆忙出行，没有穿运动鞋，没有带三脚架，只带了一瓶水。全程走了快两个钟头，脚残了，全程手持拍瀑布，手废了，真是快乐的一天啊。出景区大门，迎面遇到穿着钓鱼马甲挂着佳能单反的的摄影发烧友大爷给我打招呼：“唉呀，那个好看吗，好看吗”；我一脸茫然：“什么好看”。“瀑?展开全文c,"['https://ww4.sinaimg.cn/thumb150/935dc258gy1gahe3ktakxj21400u0k4t.jpg', 'https://ww2.sinaimg.cn/orj360/935dc258gy1gahe3mplexj218x0u0jy1.jpg', 'https://ww2.sinaimg.cn/thumb150/935dc258gy1gahe3nwxsdj218x0u0qht.jpg', 'https://ww4.sinaimg.cn/thumb150/935dc258gy1gahe3pld2rj218x0u015i.jpg', 'https://ww1.sinaimg.cn/orj360/935dc258gy1gahe3qmzyuj21890u0qfu.jpg', 'https://ww4.sinaimg.cn/thumb150/935dc258gy1gahe3s39poj218x0u0tkg.jpg']",[]
4.45603E+15,01月01日 21:09,一只傻兔砸,新年第一天就感冒了还发烧去输液结果诊所说明天才能输打了两针屁股痛死了?,[],[]
4.456E+15,01月01日 19:15,我是我是我还是我Wr,//@张思莱医师:回复@末未LiLi:什么积食上火呀然后严重发烧咳嗽。这都是错误概念。//@末未LiLi:回复@我不是骑兵:我家孩子积食必上火然后严重发烧咳嗽,[],[]
